"stk","alpha","beta0","sigma","deviance"
1,1.45214124617217,2.05040477676953,0.755829420257487,-2802.07900759464
1,1.47648145857623,1.583904250754,0.726411092700513,-2820.40927000935
1,1.39594150907593,1.95336369163085,0.79395390687405,-2829.09880205082
1,1.37684296480127,1.81373832808146,0.836124607439822,-2823.38811541987
1,1.46292086405451,1.55005274115251,0.696384958762577,-2807.38774991187
1,1.42085573913651,1.50685071457879,0.894618204285203,-2817.20623281714
1,1.56228833511902,2.27172602908388,0.791768410232525,-2809.91962863802
1,1.42407117619455,1.68542519624728,0.78057783220966,-2818.87733945386
1,1.35968845479527,1.59173049636246,0.896515513424205,-2821.74312941808
1,1.58790246030037,2.39780290416292,0.783814269323861,-2814.64322869226
1,1.34878141284029,1.67600080546229,0.829215952867183,-2812.58837288761
1,1.27904433693476,1.63273089371837,0.965335662736782,-2794.41744281668
1,1.51421742865894,2.55475283128749,0.815825576691965,-2818.08328280379
1,1.43801167742268,1.78321127915403,0.831867749607294,-2798.38167833836
1,1.29555572892526,1.6888886271507,0.712714777002667,-2799.44237504732
1,1.43059241110521,1.62717679187137,0.915632791435312,-2809.07058138201
1,1.21981315034704,1.49114616037473,0.805241525714352,-2829.98746885248
1,1.4946757325739,1.75751155699043,0.840136389889503,-2818.17933622176
1,1.26154833419015,2.02945349188742,0.956859263865103,-2813.40304122384
1,1.41622462420979,2.38071566897111,0.691052637014831,-2810.55114086947
1,1.35922535081423,1.85130420833826,0.704236626697972,-2819.41651741219
1,1.44235276987106,2.02116845890486,0.696930513823411,-2817.97419834687
1,1.25264354077436,1.56232869985848,0.813098042108347,-2811.99732138749
1,1.46280142979477,1.69975883812736,0.878329754890928,-2822.26285546505
1,1.64372719630741,1.91802136082101,0.862765417009132,-2834.12020413296
1,1.26370774798233,1.84199535831024,0.897862290939801,-2814.78223342634
1,1.6021480437746,1.67254302058671,0.743600106286216,-2818.05479450686
1,1.53797669287032,1.88875528003783,0.75847188413549,-2809.05511480263
1,1.47759934143438,2.24512073312197,0.856471805728052,-2815.21125327627
1,1.34236828154557,2.143349508597,0.855019614305505,-2806.50083466464
1,1.16275012373355,1.49927516742592,0.87697411548399,-2821.23001896928
1,1.48189658602986,2.73815968536436,0.792605059947556,-2807.46550829644
1,1.38078017394334,1.74959162863325,0.796863304267443,-2815.87679719199
1,1.34792891561719,1.63835688169308,0.868031304798626,-2807.11634423266
1,1.39104580342698,1.99763343383297,0.94894410133811,-2816.36155267211
1,1.4957984845426,2.78532959342213,0.782260720607621,-2814.35462609653
1,1.44100597375365,2.07534134981155,0.747104300617723,-2805.50634300998
1,1.58069304885379,2.38494825727486,0.883336182209081,-2817.7865305267
1,1.43916374745647,2.08917865720063,0.839297416490262,-2804.83849222951
1,1.56399107699765,2.22716333643914,0.88151941081716,-2811.50849457346
1,1.38945282790295,1.82310438419228,0.744468701196491,-2822.59429807308
1,1.3150291690546,2.02171519548916,0.897799057431876,-2803.56165814936
1,1.46293131249814,1.50923560872982,0.754957969950718,-2810.43622388818
1,1.44408464641035,2.27212738258251,0.782322955437316,-2823.82663088182
1,1.4468942808728,1.8090929244439,0.685186052543102,-2824.4558671945
1,1.43560719473251,1.48661135983982,0.856135074509553,-2804.40152142062
1,1.51931810340452,1.9662474682093,0.909298391800256,-2816.68868690608
1,1.48097215127858,1.78716723495229,0.730204014649344,-2798.67381559791
1,1.33820977350659,1.45794153952343,0.743364520346119,-2803.41498288487
1,1.41958486179653,2.88471155990373,0.941834342209348,-2824.29848393835
1,1.37176114771309,1.73146265766267,0.840264471464136,-2810.60541411372
1,1.48101904212648,1.84825214048058,0.826914442785726,-2810.24275054367
1,1.55610305271461,2.41358994047456,0.987145271777829,-2805.13627521654
1,1.39889344914666,1.82198686731244,0.936841393454739,-2802.76508941187
1,1.33399301597444,1.51480748803738,0.681058603746876,-2797.25923213462
1,1.21659836088066,1.90957624978481,0.806682313043758,-2827.82943476216
1,1.13218886925388,1.52036104732367,0.831394596996729,-2823.35718663555
1,1.4422346078675,1.76078080630616,0.855101732790549,-2805.35643328246
1,1.31785832875643,1.94438168423878,0.867083131681392,-2818.06738815108
1,1.31364451767756,1.50053832089802,0.863389393209585,-2815.77434811204
1,1.5494345467341,2.54941105914201,0.786243530319512,-2804.96664481963
1,1.28828522852276,2.16474759145932,0.762496258967259,-2820.48388782994
1,1.27510464910673,1.60462319754661,0.779614346298186,-2828.21490982878
1,1.45535308589757,1.70529105111787,0.719742783834722,-2838.71991831945
1,1.37277946198777,1.45366297119296,0.770967273213967,-2805.11687833303
1,1.52630850506977,2.51027119905615,0.76036250521212,-2839.07501050132
1,1.38177796784782,1.91750755019054,0.801657098835007,-2809.09236709159
1,1.27422340643857,2.13626338697326,0.962168195709714,-2817.64809658014
1,1.36911137068696,1.78530922788746,0.888938179378664,-2809.30982807329
1,1.32466608254371,1.83540657995277,0.810039437054143,-2808.98927775863
1,1.41999236438983,1.5477429231353,0.73138699918,-2809.65098496678
1,1.33362225634701,1.62255040358993,0.897220851974767,-2827.13147490736
1,1.4504649087117,2.2393786839754,0.709439405788192,-2821.98205401675
1,1.45665070171787,1.5701576017248,0.965832472034023,-2804.11943868308
1,1.38898209939331,1.86671726900006,0.818499354889016,-2823.32701646172
1,1.30967430789206,2.0454754464603,0.808772977549455,-2827.79234788781
1,1.374714818909,1.81418870264694,0.987975385338285,-2810.46114530793
1,1.44454286363253,1.87666952886203,0.832067478982839,-2823.77918269189
1,1.29805367122626,2.08082079208829,0.651290911000798,-2809.12124437911
1,1.45187234875658,1.57806113841914,0.838006713969063,-2797.30041136092
1,1.27737294321464,1.85352189469012,0.804314948232667,-2803.4492764174
1,1.48552628801908,1.95442071688163,0.7593848686121,-2816.54120466626
1,1.46321641027781,2.11430864075481,0.703099580175179,-2804.88617537262
1,1.44180745442149,2.25099827657301,0.787184714324799,-2811.96786027238
1,1.34692170243243,1.57579340060801,0.889934167383483,-2808.99232090737
1,1.29726803479505,1.63999624992479,0.668631940755683,-2825.94309688796
1,1.41055005518724,2.57591605959424,0.733239269710782,-2828.41130810085
1,1.20397552315446,1.67048917066015,0.763150689843288,-2813.95077432241
1,1.23264664518679,1.77123444765439,0.770239206149932,-2812.73980049351
1,1.33801894386704,2.10436503579988,0.936663086788013,-2804.19925202535
1,1.52409461260396,1.68163677229138,0.75352454990492,-2820.9639069677
1,1.362004288722,1.59182171057468,0.789172692612898,-2804.42531074773
1,1.41397051791436,2.44806077124601,0.774349319773177,-2804.03838126342
1,1.4415284233777,1.50447012460505,0.756253872650277,-2810.41611772893
1,1.35993907691095,2.85560750686298,0.746747160362698,-2817.95968435456
1,1.10926743685534,1.69463201220831,0.826151062185207,-2820.49821621692
1,1.45112400760582,2.94845138483364,0.8881933278667,-2830.22788679129
1,1.30301315600113,1.47984547321139,0.800761859909663,-2828.69057492892
1,1.5316375394159,1.57526940833854,0.844480412550473,-2802.46991692584
1,1.23381346514091,1.74881272511071,0.776117587490237,-2810.09264263986
1,1.40709175140782,2.10847613254884,0.812344892519722,-2807.45863131614
1,1.45385847537143,1.61886435322628,0.810963087408193,-2817.42671234385
1,1.35041948023691,1.71560538787858,0.759116530667244,-2819.90477606795
1,1.40192260273745,1.67172653390762,0.79541458178031,-2804.40334236044
1,1.58757240725952,2.81293893080407,0.790099228518183,-2816.32799735558
1,1.46565715721371,1.85173348491023,0.680683685109451,-2808.55687095449
1,1.51619645426893,2.31914051909243,0.951524462307185,-2838.62467620692
1,1.41688712302879,2.05528884175965,0.786296890180813,-2815.55372564553
