scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig,preFMigMort
ageTau,low,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0.5,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,0.5,1,1,0
ageTau,high,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0.5,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1.25,1,1,0
ageTau,low,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,1,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,0.5,1,1,0
ageTau,high,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,1,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1.25,1,1,0
ageTau,low,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,0.5,1,1,0
ageTau,high,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1.25,1,1,0
enRouteSig,low,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0.5,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,0.75,0
enRouteSig,high,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,0.5,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1.25,0
enRouteSig,low,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,1,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,0.75,0
enRouteSig,high,NA,ppnMix,1,sockeye,50,genPA,stockRecruit,NA,0,1,TRUE,FALSE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1.25,0
