scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig,preFMigMort
ref0,ref0,noSingle_1.00TAM,ppnMix,1,sockeye,20,TAM,stockRecruit,NA,0,1,TRUE,FALSE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref0,ref0,noSingle_0.85TAM,ppnMix,2,sockeye,20,TAM,stockRecruit,NA,0,0.85,TRUE,FALSE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref0,ref0,noSingle_0.70TAM,ppnMix,3,sockeye,20,TAM,stockRecruit,NA,0,0.7,TRUE,FALSE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref0,ref0,noSingle_0.50TAM,ppnMix,4,sockeye,20,TAM,stockRecruit,NA,0,0.5,TRUE,FALSE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref,ref,retro_1.00TAM,ppnMix,1,sockeye,20,TAM,stockRecruit,NA,0,1,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref,ref,retro_0.85TAM,ppnMix,2,sockeye,20,TAM,stockRecruit,NA,0,0.85,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref,ref,retro_0.70TAM,ppnMix,3,sockeye,20,TAM,stockRecruit,NA,0,0.7,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
ref,ref,retro_0.50TAM,ppnMix,4,sockeye,20,TAM,stockRecruit,NA,0,0.5,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
modTauCatch,modTauCatch,retro_1.00TAM,ppnMix,1,sockeye,20,TAM,stockRecruit,NA,0,1,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
modTauCatch,modTauCatch,retro_0.85TAM,ppnMix,2,sockeye,20,TAM,stockRecruit,NA,0,0.85,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
modTauCatch,modTauCatch,retro_0.70TAM,ppnMix,3,sockeye,20,TAM,stockRecruit,NA,0,0.7,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
modTauCatch,modTauCatch,retro_0.50TAM,ppnMix,4,sockeye,20,TAM,stockRecruit,NA,0,0.5,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
highTauCatch,highTauCatch,retro_1.00TAM,ppnMix,1,sockeye,20,TAM,stockRecruit,NA,0,1,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.4,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
highTauCatch,highTauCatch,retro_0.85TAM,ppnMix,2,sockeye,20,TAM,stockRecruit,NA,0,0.85,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.4,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
highTauCatch,highTauCatch,retro_0.70TAM,ppnMix,3,sockeye,20,TAM,stockRecruit,NA,0,0.7,TRUE,TRUE,retro,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.4,0,0,0,0,0,0,0.5,1,0.0001,1,1,1,1,0
