Label,Stock,StockID,Model,Parameter,Value,SD,LCL,LQ,Median,UQ,UCL
Label,Stock,StockID,Model,Paramter,Value,SD,LCL,LQ,Median,UQ,UCL
Label,character,numeric,character,character,numeric,numeric,numeric,numeric,numeric,numeric,numeric
,Stellako,1,Ricker,alpha,1.9534922,0.174501635,1.606,1.837,1.957,2.07,2.295
,Stellako,1,Ricker,beta,4.747703952,1.404287627,1.9458999,3.817749975,4.757999895,5.701,7.509
,Stellako,1,Ricker,Smax,0.246432973,0.317357764,0.1332,0.1754,0.210149994,0.261924996,0.514024976
,Stellako,1,Ricker,var,0.75646061,0.142566858,0.5265,0.654874999,0.7402,0.8403,1.085
,Stellako,1,RickerTVA,alpha[1],1.94772042,0.330642749,1.276,1.735,1.954,2.166,2.59
,Stellako,1,RickerTVA,alpha[2],1.92883261,0.305490179,1.316,1.73,1.937,2.131,2.528024995
,Stellako,1,RickerTVA,alpha[3],1.91464223,0.291236371,1.327974991,1.724,1.921,2.106249955,2.476024995
,Stellako,1,RickerTVA,alpha[4],1.93269273,0.280806163,1.368974991,1.749,1.936,2.119,2.479
,Stellako,1,RickerTVA,alpha[5],1.9701215,0.271859546,1.429,1.79,1.972,2.146,2.509
,Stellako,1,RickerTVA,alpha[6],1.98020353,0.26521827,1.469,1.806,1.979,2.151,2.514
,Stellako,1,RickerTVA,alpha[7],1.95553547,0.262874909,1.434899864,1.783,1.955,2.127,2.473024995
,Stellako,1,RickerTVA,alpha[8],1.92914505,0.259663676,1.402,1.759,1.93,2.103,2.431
,Stellako,1,RickerTVA,alpha[9],1.92213275,0.261151099,1.382,1.755,1.925,2.099,2.42
,Stellako,1,RickerTVA,alpha[10],1.93154516,0.257222412,1.409,1.764749947,1.934,2.103,2.439024995
,Stellako,1,RickerTVA,alpha[11],1.93059328,0.255649053,1.405974991,1.766749947,1.936,2.099,2.425
,Stellako,1,RickerTVA,alpha[12],1.94507138,0.251709686,1.436,1.781,1.949,2.113,2.432
,Stellako,1,RickerTVA,alpha[13],1.9730524,0.24808596,1.472,1.815,1.975,2.136,2.457
,Stellako,1,RickerTVA,alpha[14],1.99417333,0.252867758,1.476974992,1.832,1.995,2.16,2.493
,Stellako,1,RickerTVA,alpha[15],1.99286747,0.24732376,1.487,1.834,1.995,2.153,2.484024995
,Stellako,1,RickerTVA,alpha[16],1.9980228,0.247707463,1.496,1.837749949,1.999,2.16,2.486
,Stellako,1,RickerTVA,alpha[17],2.00436174,0.249735474,1.501974992,1.848,2.006,2.168,2.495
,Stellako,1,RickerTVA,alpha[18],2.0287226,0.244571972,1.544974992,1.87,2.03,2.187249957,2.516
,Stellako,1,RickerTVA,alpha[19],2.02997941,0.245445423,1.533974992,1.873,2.03,2.191249957,2.514
,Stellako,1,RickerTVA,alpha[20],2.0530725,0.245271257,1.567974992,1.892,2.053,2.21,2.538
,Stellako,1,RickerTVA,alpha[21],2.07914967,0.245068956,1.594,1.918,2.078,2.239,2.569
,Stellako,1,RickerTVA,alpha[22],2.1186034,0.249305031,1.648,1.951,2.113,2.277,2.633024995
,Stellako,1,RickerTVA,alpha[23],2.1359063,0.251583793,1.655,1.97,2.129,2.3,2.645
,Stellako,1,RickerTVA,alpha[24],2.1062952,0.251514884,1.618,1.944749952,2.103,2.267,2.61
,Stellako,1,RickerTVA,alpha[25],2.1224092,0.253602012,1.639974993,1.955,2.119,2.286,2.642
,Stellako,1,RickerTVA,alpha[26],2.1407463,0.25785845,1.657974993,1.964,2.135,2.308,2.672
,Stellako,1,RickerTVA,alpha[27],2.11107394,0.254641979,1.619,1.945,2.104,2.276,2.631
,Stellako,1,RickerTVA,alpha[28],2.13351687,0.256466166,1.639974993,1.963,2.128,2.299,2.653024995
,Stellako,1,RickerTVA,alpha[29],2.1358284,0.262070119,1.631974993,1.961749952,2.129,2.308,2.659
,Stellako,1,RickerTVA,alpha[30],2.13401468,0.265730785,1.636,1.953,2.129,2.306,2.675024995
,Stellako,1,RickerTVA,alpha[31],2.164871,0.271178684,1.656,1.982,2.156,2.342,2.720024996
,Stellako,1,RickerTVA,alpha[32],2.1614886,0.272615153,1.648974993,1.973749952,2.152,2.33824996,2.722024996
,Stellako,1,RickerTVA,alpha[33],2.1342921,0.271878042,1.614,1.949,2.129,2.313,2.689
,Stellako,1,RickerTVA,alpha[34],2.1268949,0.2780947,1.617,1.936,2.117,2.308,2.705024995
,Stellako,1,RickerTVA,alpha[35],2.09612651,0.27759807,1.566,1.909,2.089,2.277,2.666024995
,Stellako,1,RickerTVA,alpha[36],2.02154958,0.274000407,1.488,1.845,2.017,2.198,2.576024995
,Stellako,1,RickerTVA,alpha[37],1.98546907,0.276606058,1.44,1.805,1.981,2.164,2.538024995
,Stellako,1,RickerTVA,alpha[38],1.93854994,0.281726723,1.384,1.752,1.936,2.121249956,2.506024995
