"","scenario","nameOM","nameMP","keyVar","plotOrder","species","simYears","harvContRule","benchmark","canER","usER","propMixHigh","enRouteMort","constrain","singleHCR","moveTAC","prodRegime","startYear","endYear","rho","arSigTransform","correlCU","corrMat","tauCatch","obsSig","mixOUSig","singOUSig","obsMixCatchSig","obsSingCatchSig","obsAgeErr","lowCatchThresh","highCatchThresh","extinctThresh","adjustSig","adjustAge","adjustForecast","adjustEnRouteSig","preFMigMort","prodScalar"
"1","varyProd","0.5Prod","retro1Mix_genPA","ppnMix",1,"sockeye",50,"genPA","stockRecruit",NA,NA,1,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"2","varyProd","0.5Prod","retro0.9Mix_genPA","ppnMix",2,"sockeye",50,"genPA","stockRecruit",NA,NA,0.9,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"3","varyProd","0.5Prod","retro0.8Mix_genPA","ppnMix",3,"sockeye",50,"genPA","stockRecruit",NA,NA,0.8,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"4","varyProd","0.5Prod","retro0.7Mix_genPA","ppnMix",4,"sockeye",50,"genPA","stockRecruit",NA,NA,0.7,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"5","varyProd","0.5Prod","retro0.6Mix_genPA","ppnMix",5,"sockeye",50,"genPA","stockRecruit",NA,NA,0.6,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"6","varyProd","0.5Prod","retro0.5Mix_genPA","ppnMix",1,"sockeye",50,"genPA","stockRecruit",NA,NA,0.5,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"7","varyProd","0.5Prod","retro0.4Mix_genPA","ppnMix",2,"sockeye",50,"genPA","stockRecruit",NA,NA,0.4,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"8","varyProd","0.5Prod","retro0.3Mix_genPA","ppnMix",3,"sockeye",50,"genPA","stockRecruit",NA,NA,0.3,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"9","varyProd","0.5Prod","retro0.2Mix_genPA","ppnMix",4,"sockeye",50,"genPA","stockRecruit",NA,NA,0.2,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"10","varyProd","0.5Prod","retro0.1Mix_genPA","ppnMix",5,"sockeye",50,"genPA","stockRecruit",NA,NA,0.1,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"11","varyProd","0.5Prod","retro0Mix_genPA","ppnMix",5,"sockeye",50,"genPA","stockRecruit",NA,NA,0,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.5
"12","varyProd","0.55Prod","retro1Mix_genPA","ppnMix",1,"sockeye",50,"genPA","stockRecruit",NA,NA,1,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"13","varyProd","0.55Prod","retro0.9Mix_genPA","ppnMix",2,"sockeye",50,"genPA","stockRecruit",NA,NA,0.9,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"14","varyProd","0.55Prod","retro0.8Mix_genPA","ppnMix",3,"sockeye",50,"genPA","stockRecruit",NA,NA,0.8,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"15","varyProd","0.55Prod","retro0.7Mix_genPA","ppnMix",4,"sockeye",50,"genPA","stockRecruit",NA,NA,0.7,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"16","varyProd","0.55Prod","retro0.6Mix_genPA","ppnMix",5,"sockeye",50,"genPA","stockRecruit",NA,NA,0.6,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"17","varyProd","0.55Prod","retro0.5Mix_genPA","ppnMix",1,"sockeye",50,"genPA","stockRecruit",NA,NA,0.5,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"18","varyProd","0.55Prod","retro0.4Mix_genPA","ppnMix",2,"sockeye",50,"genPA","stockRecruit",NA,NA,0.4,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
"19","varyProd","0.55Prod","retro0.3Mix_genPA","ppnMix",3,"sockeye",50,"genPA","stockRecruit",NA,NA,0.3,TRUE,FALSE,"retro",FALSE,"scalar",NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,1e-04,1,1,1,1,0,0.55
