"CU","alpha","beta0","sigma","deviance","stk"
"xx","1.88645245574391","0.377600100585411","0.708307641357283","129.786760352895","Pooled Summ."
"xx","1.76570622424735","0.364753845445005","0.689322269050287","127.735001683689","Pooled Summ."
"xx","1.61513248723216","0.392442798312358","0.63223921415978","132.242714000543","Pooled Summ."
"xx","1.70561353661477","0.365159148525057","0.576880746324729","130.851680913961","Pooled Summ."
"xx","1.82125247619206","0.460296065507388","0.736663368366413","129.645762351752","Pooled Summ."
"xx","1.77395051742951","0.478472592500599","0.886501652885943","137.78228207523","Pooled Summ."
"xx","1.76426592413231","0.418222075517031","0.639446086952173","128.229601575605","Pooled Summ."
"xx","1.78511384814732","0.422335801496415","0.679562152392289","127.89707151372","Pooled Summ."
"xx","1.82061833388802","0.436959459153006","0.659513208276558","127.998943704574","Pooled Summ."
"xx","1.81861966449172","0.374411610429961","0.793215522302606","131.281224238838","Pooled Summ."
"xx","1.68721497040498","0.369970141309285","0.665347164795462","128.248134986206","Pooled Summ."
"xx","1.5645346778334","0.266277940672414","0.689940791877174","130.839328297218","Pooled Summ."
"xx","1.47083064704981","0.225332243686415","0.712603610272113","134.108281026267","Pooled Summ."
"xx","1.59652736733966","0.234702726266514","0.797048599474495","133.903550237779","Pooled Summ."
"xx","1.82327990483832","0.392129626579476","0.673649470968478","127.762064327112","Pooled Summ."
"xx","1.74898797059754","0.427062675836783","0.703063923852942","128.762818528205","Pooled Summ."
"xx","1.79479658687399","0.43755317826603","0.640812842237015","128.395473600383","Pooled Summ."
"xx","1.75058797754176","0.347488338640165","0.556189317874993","132.495583010073","Pooled Summ."
"xx","1.53935510935154","0.272118765270104","0.645934919587244","131.929833925871","Pooled Summ."
"xx","1.72996428757228","0.357790840246439","0.705068340240559","128.040319109399","Pooled Summ."
"xx","1.69091365109981","0.33453021652572","0.649874126436899","128.158951778255","Pooled Summ."
"xx","1.84062690209881","0.388202122077234","0.604610413545603","129.425652359532","Pooled Summ."
"xx","1.62474104457018","0.239126861192007","0.643288224328055","131.608955407404","Pooled Summ."
"xx","1.58543683699146","0.281805053722822","0.612964503277462","131.611599608334","Pooled Summ."
"xx","1.69490734084313","0.363996190656857","0.666798313640854","128.027837709414","Pooled Summ."
"xx","1.72063813889035","0.290057854127206","0.691055085009086","129.422412065931","Pooled Summ."
"xx","1.72422897690911","0.435727581470478","0.662087154512706","129.509967748474","Pooled Summ."
"xx","1.70847734444057","0.344946305094577","0.756411285537654","129.663611681977","Pooled Summ."
"xx","1.75760423196402","0.355572642043458","0.556607170531674","132.30972958468","Pooled Summ."
"xx","1.8638736855674","0.298307438376977","0.58216638782515","137.855761011142","Pooled Summ."
"xx","1.73774299160382","0.344219255736691","0.663757492458238","127.792621577847","Pooled Summ."
"xx","1.7077137231965","0.369665472691725","0.61047666645324","128.964182833973","Pooled Summ."
"xx","1.83628343812683","0.323834478286587","0.701121298290369","130.49155519738","Pooled Summ."
"xx","1.60757485568873","0.375815733426375","0.695670640172015","130.944844727446","Pooled Summ."
"xx","1.55106736683031","0.211276747251593","0.729298996765147","133.022033778104","Pooled Summ."
"xx","1.47427530275156","0.291126003269127","0.782091755159954","135.658047745007","Pooled Summ."
"xx","1.74614095328856","0.366097352527817","0.807802937356341","131.711848184211","Pooled Summ."
"xx","1.95365477026046","0.315549889011904","0.709145188787097","136.780794880415","Pooled Summ."
"xx","1.70789258976326","0.368080004654037","0.789333136361838","131.044380113241","Pooled Summ."
"xx","1.57792219291413","0.199890662174918","0.714693161888258","133.269829637958","Pooled Summ."
"xx","1.85970391671318","0.287946396311301","0.630656638584873","135.368065897767","Pooled Summ."
"xx","1.9994590540605","0.458977910446798","0.721563051371906","131.679687239278","Pooled Summ."
"xx","1.62775711139407","0.262737472378109","0.655991901455657","130.231190845998","Pooled Summ."
"xx","1.70133326396293","0.230498494524404","0.650832734821407","133.161864281452","Pooled Summ."
"xx","1.84825714265786","0.425131553839871","0.619012776513194","128.67937345108","Pooled Summ."
"xx","1.59703426069638","0.38808364993957","0.736749659595384","132.488637775473","Pooled Summ."
"xx","1.74043261149203","0.31773556627603","0.677260099666812","128.490164016267","Pooled Summ."
"xx","1.68951408765401","0.401426678199271","0.566276853378037","133.286307824724","Pooled Summ."
"xx","1.74929480758531","0.447734560382568","0.728643556797426","130.042071120072","Pooled Summ."
"xx","1.72390402338356","0.279086031991679","0.617038544145723","131.176674908585","Pooled Summ."
"xx","1.84807921456648","0.432757983549369","0.710537361506303","128.426827203022","Pooled Summ."
"xx","1.88531145564184","0.41299738859989","0.623229201500463","129.294448808511","Pooled Summ."
"xx","1.74012834208394","0.465376601751879","0.633427973870824","131.314953002139","Pooled Summ."
"xx","1.76389809396294","0.377973029325681","0.800510662247525","131.311032995125","Pooled Summ."
"xx","1.88391337360896","0.48174327761213","0.700896257015782","129.29948609997","Pooled Summ."
"xx","1.73171552260655","0.404950708650552","0.650441057465794","128.240924027555","Pooled Summ."
"xx","1.57462493996685","0.213553539455054","0.776101335181862","133.970770712441","Pooled Summ."
"xx","1.65586524810937","0.266916676848817","0.753218457250328","131.170414399598","Pooled Summ."
"xx","1.74155970868078","0.475384368532117","0.59494521384163","133.957908024307","Pooled Summ."
"xx","1.85294970078574","0.281043061410777","0.623121910891614","136.056443012868","Pooled Summ."
"xx","1.66815618158532","0.314402102977522","0.723911657535119","129.179033097152","Pooled Summ."
"xx","1.53662601387786","0.25163173198412","0.662180976399799","131.918751211123","Pooled Summ."
"xx","1.69700777301872","0.334844950686692","0.638146568617997","128.284535394875","Pooled Summ."
"xx","1.82064557399294","0.377886998814201","0.679817878275599","127.95831477023","Pooled Summ."
"xx","1.79433354119066","0.413142226847319","0.694257174373619","127.853670451341","Pooled Summ."
"xx","1.75513583864421","0.322706283671329","0.602316653921282","130.054453185923","Pooled Summ."
"xx","1.91533297759248","0.423520065225458","0.597971966624468","131.138203951291","Pooled Summ."
"xx","1.76272135398983","0.407468056253694","0.759431215630922","129.7113514849","Pooled Summ."
"xx","1.76132537643954","0.295791432586851","0.662587335309637","129.8673331862","Pooled Summ."
"xx","1.78384590278447","0.362556072930759","0.715019533128329","128.326839346457","Pooled Summ."
"xx","1.8501822025129","0.37496340274869","0.697041494499589","128.747884211631","Pooled Summ."
"xx","1.87690083812066","0.447222660858477","0.814616407227628","132.587696191246","Pooled Summ."
"xx","1.77645891130543","0.351542055569391","0.787526583011782","130.977439500602","Pooled Summ."
"xx","1.67674771987292","0.419269440523667","0.776623187757891","132.233716521427","Pooled Summ."
"xx","1.84800365083141","0.459476725705033","0.656965996068973","128.516480660992","Pooled Summ."
"xx","1.76898643954826","0.261058136774615","0.657093085755856","132.615295001184","Pooled Summ."
"xx","1.75500394404088","0.412048390985372","0.650079325595609","128.044716342295","Pooled Summ."
"xx","1.80972796989051","0.295949722976694","0.65371763527851","131.481609231352","Pooled Summ."
"xx","1.65113707109861","0.250491017175084","0.677831058497407","130.625361343611","Pooled Summ."
"xx","1.69333440850539","0.318131396489831","0.633410545857344","128.68482269853","Pooled Summ."
