"CU","alpha","beta0","sigma","deviance","stk"
10,2.3908183469762,10.9578222810217,1.02791269197762,2052.40169893172,"Birkenhead"
10,1.90459482415352,6.75335105042738,0.891234999353497,2035.24207563809,"Birkenhead"
10,2.21362458167806,9.33163045896187,1.12423571343605,2041.06558590597,"Birkenhead"
10,2.13275354817742,8.98593276634631,1.08189076404746,2052.06336729672,"Birkenhead"
10,2.17785453994407,8.68298318381705,0.921680159965458,2033.65275264585,"Birkenhead"
10,1.72909058457919,5.32452373684214,1.05719398637595,2053.24174383538,"Birkenhead"
10,2.19099461758314,9.67575340268094,0.889958093577364,2043.03502445199,"Birkenhead"
10,2.20774917436153,9.30788983016718,0.859043966352217,2051.07697615748,"Birkenhead"
10,2.0415467871902,8.92742478959021,1.01220379077878,2038.5672882736,"Birkenhead"
10,2.04657964245341,8.65661638542744,1.13378043987584,2031.65148193169,"Birkenhead"
10,1.809394017383,5.62875611152306,1.1308651162546,2040.32700519302,"Birkenhead"
10,1.94825303742379,7.92613991687525,1.17092943896613,2043.67333660537,"Birkenhead"
10,2.08067643914114,8.40500869943313,0.897880356701852,2046.16314737472,"Birkenhead"
10,2.29295202525732,9.72795775286593,0.897062752810874,2040.91208013462,"Birkenhead"
10,2.14124719841355,7.60228021097048,1.07118337285832,2040.50180876942,"Birkenhead"
10,2.13774574883757,8.05563427391209,0.96773691075861,2046.55995486431,"Birkenhead"
10,2.1883192952561,8.89298931760657,0.961417967855584,2041.35483689378,"Birkenhead"
10,2.21526341636193,8.43997800882015,0.953396069225189,2053.66944292727,"Birkenhead"
10,2.01790315647329,6.07732834678984,0.88833675794835,2045.94266529219,"Birkenhead"
10,1.83716738672505,6.58264926963723,1.01249729435118,2050.84796424745,"Birkenhead"
10,2.18177181227575,7.28232207499119,0.952329312954873,2045.39491539455,"Birkenhead"
10,1.89190301089094,5.55049493594852,1.09977486978219,2053.91323355583,"Birkenhead"
10,2.18202564290789,8.03017303062724,0.9177523866778,2037.39530193455,"Birkenhead"
10,1.89762501373737,7.80512399558533,0.984258376262582,2045.35137976695,"Birkenhead"
10,2.09716342767495,7.48720799319968,1.06852408185214,2042.58049480721,"Birkenhead"
10,1.57624627823547,5.08202976977961,1.11975077862021,2048.37985356963,"Birkenhead"
10,1.73214653562056,5.05960334378116,0.945498866713861,2054.4397785401,"Birkenhead"
10,1.91692988610134,5.62713551012184,1.06569516900214,2041.70422612651,"Birkenhead"
10,1.98906092179175,6.51089478662283,1.09621643773192,2046.49936466678,"Birkenhead"
10,2.09426492749016,5.78557362281624,1.08848771508933,2035.34483649631,"Birkenhead"
10,2.44022658300559,9.25550282082798,0.890637067929599,2037.79139579059,"Birkenhead"
10,2.11332383717028,8.13867532997505,0.905450539688209,2047.52495363733,"Birkenhead"
10,2.0259893735177,7.68237612284532,1.07072288258154,2035.20814226732,"Birkenhead"
10,1.93528451885018,5.91095626286533,0.935337967592004,2039.64553934437,"Birkenhead"
10,2.20871789164595,10.882237695236,0.980039568287505,2045.93861958093,"Birkenhead"
10,1.63134043608647,5.25825767139369,1.10699167244157,2061.29632403259,"Birkenhead"
10,2.02158370520164,8.77692429309496,0.917783021651761,2035.73392764387,"Birkenhead"
10,1.99384326986678,7.61461171568949,0.917569295328463,2038.12330684123,"Birkenhead"
