"CU","alpha","beta0","sigma","deviance","stk"
10,1.99627572777091,7.04112690797385,1.01209032370847,2057.58913442106,"Birkenhead"
10,2.22707639408246,8.51835652128839,0.992912145000799,2030.79286553873,"Birkenhead"
10,1.68714576835116,6.3289948317176,0.968225877363467,2041.11302847462,"Birkenhead"
10,1.67163418648458,5.12204853837939,0.998303420025687,2045.07577897073,"Birkenhead"
10,2.02726164523584,4.48633085398205,0.854771199488095,2057.50270987492,"Birkenhead"
10,2.20197210790011,8.57995174482983,0.864608918156823,2058.04505392923,"Birkenhead"
10,2.13640149262735,9.14596096972141,1.03352044424545,2059.28765042564,"Birkenhead"
10,1.85951407200449,7.08021108367759,0.825340875232133,2057.9871727363,"Birkenhead"
10,2.25588617999313,7.04981481219306,1.07321988000092,2049.26078851727,"Birkenhead"
10,2.15548298048766,10.2269767206134,1.01738343611153,2042.51125124959,"Birkenhead"
10,2.11382479722086,7.97492035320635,1.01061865290801,2038.52148934217,"Birkenhead"
10,1.89863315005088,5.26593242096491,1.05710857325853,2053.10221925013,"Birkenhead"
10,1.91353779917701,5.08023474426365,1.00648014653923,2046.67375453805,"Birkenhead"
10,2.03021649207497,8.01235710230637,0.950838930582271,2036.56541530755,"Birkenhead"
10,2.05323424090216,8.88042658594714,1.00461001701788,2042.60790368323,"Birkenhead"
10,1.97730495891104,5.85039437618004,0.988284784921236,2045.7168000529,"Birkenhead"
10,2.05986705741072,7.46068404950891,1.03769146239839,2042.88680522027,"Birkenhead"
10,2.00056547088326,8.12737255819167,0.956934186387138,2054.49709006022,"Birkenhead"
10,1.96534905272463,6.01037489000141,1.02095885053419,2038.52449461377,"Birkenhead"
10,2.02232720872241,7.0501400710662,0.957407538404644,2041.09677071025,"Birkenhead"
10,2.19047858470058,8.50852818707819,1.11282545392501,2043.67994744292,"Birkenhead"
10,2.07927120589419,6.96561415452848,1.08273791298556,2038.29989182461,"Birkenhead"
10,1.81447599546504,5.92817018852351,0.952608861861268,2055.54927519602,"Birkenhead"
10,2.06140495446147,7.20701056175314,0.885088645708654,2067.04612794788,"Birkenhead"
10,1.89353286987509,5.33870794670924,0.923516219717399,2043.95794654933,"Birkenhead"
10,1.88720774709002,5.53404767671644,1.00237522050828,2037.13120021465,"Birkenhead"
10,1.72626920311383,5.59661310965574,0.98020567040058,2044.66283541579,"Birkenhead"
10,1.96799025814874,8.53813471953629,0.877628038453061,2040.05904608115,"Birkenhead"
10,2.03481426026917,6.60181157191116,1.13366447133249,2057.77577140676,"Birkenhead"
10,2.12714817156055,9.5649887884007,0.865641161336105,2048.03088854502,"Birkenhead"
10,2.3234036069561,9.83014068485634,1.14916937961875,2054.61226001183,"Birkenhead"
10,2.18360468338695,9.29366914998953,1.1890987540019,2042.52770080037,"Birkenhead"
10,2.18480539841326,8.58328137161046,0.858462576657984,2041.85582441548,"Birkenhead"
10,2.27642610213202,9.99509017513667,0.941232913967089,2062.58789193772,"Birkenhead"
10,1.75972938576464,6.18791502726217,0.924881021510188,2053.16717475021,"Birkenhead"
10,2.12450565913474,8.19288818180551,1.10442974975082,2047.47198838615,"Birkenhead"
10,2.02095173990427,8.71867104696742,0.964754009982804,2036.85981105221,"Birkenhead"
10,2.26730413189727,8.03741508407048,0.948473202161635,2056.821407506,"Birkenhead"
10,1.92493225187361,8.20755100446521,0.989632611317001,2043.62992381672,"Birkenhead"
10,2.41354802983392,9.48207990716523,0.957995713367197,2040.65508118346,"Birkenhead"
10,2.34559751832112,10.9505084203827,1.00376726026577,2036.03466490265,"Birkenhead"
10,2.03525528045148,8.5501809324925,1.13446433219036,2031.76359970875,"Birkenhead"
10,2.01435866742971,7.20213272009188,1.09625373055537,2045.28305553263,"Birkenhead"
10,1.78425263382653,5.08350685000739,1.05340128485191,2031.08888280037,"Birkenhead"
10,2.30650274452254,9.01952550768272,1.06786625579501,2061.57629784048,"Birkenhead"
10,1.8505873760846,7.02827910258754,1.01709422767752,2041.12093304898,"Birkenhead"
10,2.43730957026249,9.50090996310489,1.18023220914016,2054.42447918521,"Birkenhead"
10,1.7520254335691,8.53290494116127,1.17501707697372,2048.72663936783,"Birkenhead"
10,1.82422722347111,6.57710394929222,0.944111907177695,2050.99889084073,"Birkenhead"
10,2.10921383299955,9.60493951183219,1.11166682149169,2046.00362680107,"Birkenhead"
10,2.14525471208561,8.66489337396632,0.991270827294058,2044.29615825553,"Birkenhead"
10,2.14714402366617,7.95911822870486,1.04299300973361,2046.08410659899,"Birkenhead"
10,2.15409361964665,7.82390614148793,0.847939332688408,2049.46955692084,"Birkenhead"
10,2.00617769072228,7.39318276344168,0.94018680289197,2044.5649638021,"Birkenhead"
10,2.13200725386791,10.0467357570321,1.10163697227633,2044.89087576812,"Birkenhead"
10,2.01486483917329,6.64215470403589,1.14436087334637,2056.466387934,"Birkenhead"
10,2.15498847911828,9.03402276036958,0.89903983209919,2051.99749714619,"Birkenhead"
10,1.9415081765075,5.77407789030776,1.04357183255768,2042.80705476434,"Birkenhead"
10,2.01678090331049,8.8961562636606,1.03476309959758,2031.20880440564,"Birkenhead"
10,2.20028819075352,6.77300642823294,0.935789780647257,2044.353054238,"Birkenhead"
10,2.03115822032171,7.9769851575581,0.98102991600968,2056.71448315624,"Birkenhead"
10,2.1087202570559,8.32702359356112,0.897053150615277,2049.92195207148,"Birkenhead"
10,2.33257265430224,6.73791809721047,1.12324204220838,2049.56008194355,"Birkenhead"
10,1.81300943034413,5.35664970058439,1.00974147220282,2047.77106090414,"Birkenhead"
10,1.968664558286,7.35163688798683,1.04095092595977,2051.51968619294,"Birkenhead"
10,2.06261091032971,5.99765198356118,1.02708443639051,2046.98092041978,"Birkenhead"
10,1.9122479294344,8.23145839535966,1.10838349234996,2043.61485235991,"Birkenhead"
10,1.89261841218531,6.90056287154561,0.966928819062977,2044.87277486422,"Birkenhead"
10,1.77781156187323,6.78799655731179,0.951838400342365,2044.14682948903,"Birkenhead"
10,1.64647347667162,6.06321984867882,0.94476591936894,2047.45710957264,"Birkenhead"
10,2.28088946817834,10.0678903947245,1.07984366570301,2035.56995515909,"Birkenhead"
10,2.31735851638607,8.48738360659676,0.920109643791353,2040.13642567197,"Birkenhead"
10,1.93481933173063,7.57788577847145,1.08082276356399,2038.41423633028,"Birkenhead"
10,2.02421904015267,7.89442550196302,1.0298741283164,2050.35792872683,"Birkenhead"
10,2.35312314043364,9.5875955938219,1.03494437423485,2058.58958598944,"Birkenhead"
10,1.84424374517941,7.00459881677673,0.925259817538776,2064.36070535696,"Birkenhead"
10,2.09639010557543,5.66513770217132,1.04347486212607,2068.68248284473,"Birkenhead"
10,2.09285413665287,8.05771343017886,0.956625552436345,2049.29629311919,"Birkenhead"
10,2.25471936159522,9.00473093729336,0.97140248757799,2038.66027338789,"Birkenhead"
10,2.28172292712688,5.35838617775989,0.979921203622698,2061.80994851918,"Birkenhead"
10,2.09276685051701,8.62408418655338,0.968047713031339,2060.80715941656,"Birkenhead"
10,2.05096795675394,7.72045035280515,0.884281247467978,2039.18444146642,"Birkenhead"
