"CU","alpha","beta0","sigma","deviance","stk"
1,1.51846357557375,2.42248375041454,0.833841839105589,2870.35312114629,"E. Stuart"
1,1.26004079693631,1.46639590746317,0.786073914806318,2889.76887835169,"E. Stuart"
1,1.23921790126224,1.08083056405651,1.01172835212925,2879.8796236438,"E. Stuart"
1,1.38079989209888,0.991826601318994,0.862144029385099,2866.49679124409,"E. Stuart"
1,1.32199194011508,1.87568484267557,0.768563797133854,2868.47366971977,"E. Stuart"
1,1.16154464148078,1.29145325046449,0.784607552967972,2880.33896484866,"E. Stuart"
1,1.43260027567808,1.15604332060697,0.752521366852109,2891.66142289285,"E. Stuart"
1,1.44355868644235,2.53223165650309,0.73308380051156,2879.25193329763,"E. Stuart"
1,1.32274741597429,2.02451923746623,0.958272062573829,2882.65410619857,"E. Stuart"
1,1.35679472625952,1.04229479303356,0.866687989974213,2878.29199306233,"E. Stuart"
1,1.41845788251085,2.46076431983629,0.727202231928108,2884.50212337092,"E. Stuart"
1,1.39219532714543,1.94034710755502,0.744315222430422,2883.8958866193,"E. Stuart"
1,1.42194699768403,1.67186345891141,0.769059715407084,2884.05247686102,"E. Stuart"
1,1.38586908795016,1.4348748565853,0.68283383179556,2882.68218856748,"E. Stuart"
1,1.49017000040784,1.05864713533718,0.919423109483367,2894.64140580008,"E. Stuart"
1,1.45189695102669,1.85516066747199,0.774502260222014,2891.18856291368,"E. Stuart"
1,1.46940680782684,2.8266495596178,0.74112400912927,2874.97766275423,"E. Stuart"
1,1.29570161471898,1.37246028223529,0.7555357602521,2877.97683281177,"E. Stuart"
1,1.44564727993531,2.15812369643479,0.807009050095861,2877.4077692333,"E. Stuart"
1,1.25856210953407,1.23257270980731,0.895815734373745,2878.78277279472,"E. Stuart"
1,1.62597164000363,1.61178668761924,0.966272370139509,2881.53668804565,"E. Stuart"
1,1.28410699672963,1.00157814964039,0.783716450121239,2865.64042458278,"E. Stuart"
1,1.66087410382456,2.18070586571657,0.70365157188896,2888.85350321138,"E. Stuart"
1,1.49879424103384,1.99736896228043,0.863604832076897,2872.76397600333,"E. Stuart"
1,1.32774709855475,2.18087528664817,0.707443641710663,2861.67608274044,"E. Stuart"
1,1.51827789636995,1.83872488809688,0.950385791433929,2869.05113226821,"E. Stuart"
1,1.3232688475085,1.12280608251667,0.809204814301635,2902.02156053658,"E. Stuart"
1,1.30875071497231,1.872879909293,0.785893142180606,2866.13563611491,"E. Stuart"
1,1.45853349250855,1.81823941490989,0.811700896752631,2886.7106687801,"E. Stuart"
1,1.3081536037338,1.32654055061023,1.07984927145979,2890.09176034536,"E. Stuart"
1,1.35652047405209,1.59150834796954,0.890224824982856,2871.35138075555,"E. Stuart"
1,1.30366916886917,1.04276803264147,0.786669891808373,2870.3856845967,"E. Stuart"
1,1.39869803984567,1.87353263190488,0.825798293716746,2867.86599280551,"E. Stuart"
1,1.26161019068792,1.30231595370565,0.675654591162192,2861.60083101854,"E. Stuart"
1,1.33714090285638,1.46261777931035,0.784333266204443,2866.37489469449,"E. Stuart"
1,1.3344397176897,1.2220033895691,0.971577936917729,2894.90163880031,"E. Stuart"
1,1.3860726294229,1.64918310193275,0.83962129094883,2861.9615331735,"E. Stuart"
1,1.40633455699324,1.92363796894049,0.734208985291279,2881.20404736473,"E. Stuart"
1,1.30044465538542,1.91546450736738,0.821733890173721,2891.36711172382,"E. Stuart"
1,1.32621618869457,0.997335416220221,0.705614097433997,2876.47639341919,"E. Stuart"
1,1.50413010991326,1.28170185749893,0.769301945458238,2880.91380862379,"E. Stuart"
1,1.4107837181557,1.19154286441556,0.846336169244631,2866.60217959878,"E. Stuart"
1,1.42078786597987,1.53884030994188,0.815295031799391,2883.79555646308,"E. Stuart"
1,1.59114849474938,2.02596576242556,0.836385474640316,2874.50367579839,"E. Stuart"
1,1.16586046421202,1.04537377602314,0.741307609783946,2895.9795502272,"E. Stuart"
1,1.4737891961824,3.18119426140736,0.820535815351596,2880.04928465245,"E. Stuart"
1,1.36921138523149,1.30502767610414,0.746005718133621,2880.03832444758,"E. Stuart"
1,1.18747718323223,1.11587008767897,0.842827069307928,2895.9029735788,"E. Stuart"
1,1.45641791168671,2.12376093656963,0.986366478026486,2884.09878459919,"E. Stuart"
1,1.5481129314725,2.71185293560628,0.752850296071811,2880.5516008972,"E. Stuart"
1,1.30571499071539,1.22400209558307,0.740208562784402,2898.02211056582,"E. Stuart"
1,1.34909074505526,1.55382599456074,0.923441774841159,2861.13426932834,"E. Stuart"
1,1.35537602468094,1.21913017646958,0.735171893569109,2885.12644845052,"E. Stuart"
1,1.53653764749387,1.03336782016868,0.917861254157839,2876.50846314185,"E. Stuart"
1,1.44213624892491,2.48432522767065,0.754633044120625,2894.54795727521,"E. Stuart"
1,1.26585891692276,1.40349373504947,0.799922419211338,2880.50418248945,"E. Stuart"
1,1.16158767499752,1.4567535149379,0.807272346924979,2883.46331328787,"E. Stuart"
1,1.29680050724539,1.28749604235152,1.03083115402745,2901.42627260658,"E. Stuart"
1,1.25514512248009,0.989598671734044,0.702447491844989,2879.55704458899,"E. Stuart"
1,1.58316261974514,2.4740106336907,0.747785328975751,2875.64056487446,"E. Stuart"
1,1.49191522881387,1.06716094885001,0.92053194943312,2872.87111665874,"E. Stuart"
1,1.15782213634819,1.3701136764174,0.873209403067706,2874.87966321433,"E. Stuart"
1,1.56892654011153,1.1679410451193,0.76865384817239,2873.91835174647,"E. Stuart"
1,1.32780434821743,1.22637504435561,0.6930416662563,2874.25577124928,"E. Stuart"
1,1.38366714469305,1.94056406112781,0.773900482182862,2869.94869902186,"E. Stuart"
1,1.33305623905507,1.73776508619414,0.866158548662648,2858.61669266164,"E. Stuart"
1,1.50622384769969,1.83318382837448,0.846144685552593,2865.03144853066,"E. Stuart"
1,1.41103324124559,1.92702281714364,0.799382489658551,2870.0274758413,"E. Stuart"
1,1.42455845183628,1.69257298955806,0.867866588954581,2870.98026312666,"E. Stuart"
1,1.36736189293465,1.17495617081097,0.886458394928929,2872.08795275938,"E. Stuart"
1,1.16867432883771,1.51482450976977,0.809736919901764,2885.0255931487,"E. Stuart"
1,1.54419633278937,1.92918836704765,0.815544875198097,2872.46490391485,"E. Stuart"
1,1.38049766194832,1.23716081872577,0.803566205157969,2875.97467785182,"E. Stuart"
1,1.37603809992234,1.65151931672851,0.742011188168021,2884.77256026635,"E. Stuart"
1,1.20775893172707,1.74902551952409,0.938128053569381,2867.23774378764,"E. Stuart"
1,1.41656452944634,1.06730932663991,0.828816106669415,2857.14322357698,"E. Stuart"
1,1.43150858762533,2.02301149456513,0.891834039056022,2867.79964871059,"E. Stuart"
1,1.41932460256989,2.53549668984269,0.83808442681555,2862.49812044415,"E. Stuart"
1,1.23640162512093,1.27088588073171,0.762768762075718,2869.86116833201,"E. Stuart"
1,1.36403407165595,1.45939901420608,0.836540441686031,2872.39639431735,"E. Stuart"
1,1.51364787626419,1.74339857592764,0.788886698352524,2888.49991360459,"E. Stuart"
1,1.53884908766424,2.54185642591866,0.97547191630898,2864.64873314559,"E. Stuart"
1,1.36459511767685,2.01178175667328,0.620847970681168,2897.78539258424,"E. Stuart"
1,1.51075820570239,2.34201524955533,0.757233373331468,2862.89288620544,"E. Stuart"
1,1.20599528460027,1.28562160709972,0.785620781668039,2881.8910543106,"E. Stuart"
1,1.47269655177332,1.47236679688652,0.704629059361466,2867.98501071702,"E. Stuart"
1,1.48684241625201,1.92555900474316,0.785086088314253,2875.50890217297,"E. Stuart"
1,1.29417505595113,1.03793822417979,0.827008091793121,2868.05156799734,"E. Stuart"
1,1.37552974481379,1.22119368852713,0.775282795336059,2875.92421776848,"E. Stuart"
